,,,,,,,
,ID,省略文字,日本語訳,正式名称,種別,補足情報,詳細
,85,ADME,生体において薬物が処理される過程を示す用語,"Absorption, Distribution, Metabolism, Exception",医療,薬物動態学および薬理学で用いられる4つの文字の頭文字。,吸収（Absorption）、分布（Distribution）、代謝（Metabolism）、排泄（Excretion）の英語表記からなる略語。生体において薬物が処理される過程を示す用語である。
,23,ASP,アプリケーションサービス提供事業者,Application Service Provider,IT,,
,34,BE,ブリッジエンジニア,Bridge Engineer,IT,,
,48,CDISC,臨床研究データの世界的な業界基準,Clinical Data Interchange Standards Consortium,医療,,
,5,CFR,連邦規則集,Code of Federal Regulations,,アメリカ合衆国の連邦政府により連邦官報の中で公布される、一般的かつ永続的な規則・規定を集成した法典。,
,90,CRA,臨床開発モニター,Clinical Research Associate,医療,,
,22,CRC,治験コーディネーター,Clinical Research Cordinator,医療,治験責任医師・治験分担医師の指示のもと、治験の進行をサポートする職業。,
,44,CRC,巡回冗長検査,Cyclic Redundancy Check,IT,,
,20,CRF,症例報告書,Case Report Form,医療,治験を依頼した製薬メーカー等に被験者に関する報告を行う症例報告書。,
,17,CRO,医薬品開発業務受託機関,Contract Research Organization,医療,製薬会社から医薬品開発における臨床試験や製造販売後調査の業務を受託している企業。,
,18,CRO,医薬品開発業務受託機関,Clinical Research Organization,医療,製薬会社から医薬品開発における臨床試験や製造販売後調査の業務を受託している企業。,
,31,CSV,コンピュータ化システムバリデーション,Computerized System Validation,医療,医薬品の製造や品質管理に必要な設備や手順、工程が「期待される結果を与えることを検証」し、これを「文書化」すること,
,32,CSV,コンマで区切られたデータファイル,Comma Separated Value,IT,,
,88,CT,コンピュータ断層撮影,Computed Tomography,医療,エックス線を使って身体の断面を撮影する検査。,
,42,CTD,医薬品承認申請様式,Common Technical Document,医療,,
,50,DD,M&A対象について詳細に調査する,Due Diligence,,,
,65,DQ,設計時適格性評価,Design Qualification,,,
,76,DS,設計仕様書,Design Specification,,,
,86,EBM,根拠に基づいた医療,Evidence Based Medicine,,,
,21,eCRF,電子症例報告書,Electronic Case Report Form,医療,治験を依頼した製薬メーカー等に被験者に関する報告を行う症例報告書。,
,43,eCTD,電子医薬品承認申請様式,Electronic Common Technical Document,,,
,41,EDC,電子的に臨床データを収集するシステム,Electronic Data Capture,,,
,2,ER,電子記録,Electronic Record,,,
,3,ES,電子署名,Electronic Signature,,,
,47,eTMF,電子治験関連文書,Electronic Trial Master File,,,
,59,FDA,アメリカ食品医薬品局,Food and Drug Administration,医療,,
,70,FS,実験的に行う,Feasibility Study,,,
,75,FS,機能設計書,Function Specification,,,
,58,GAMP,CSVに関する実践ガイドライン,Good Automated Manufacturing Practice,医療,最新バージョンはGAMP5。,
,39,GCP,Googleのクラウドコンピューティングサービス,Google Cloud Platform,,,
,61,GCP,医薬品の臨床試験に関する基準,Good Clinical Practice,,,非臨床試験において、試験施設(場所)の設備・機器、組織・職員、検査・手順・結果等が、安全かつ適切であることを保証する「優良試験所規範(基準)」。
,63,GDP,国内総生産,Gross Domestic Product,,,
,64,GDP,医薬品の適正流通基準,Good Distribution Practice,,日本ではまだ整備されていない,
,82,GL,ガイドライン,Guideline,,,
,62,GLP,優良試験所規範 / 優良試験所基準,Good Laboratory Practice,,医薬品の非臨床試験の安全性に関する信頼性を確保するための基準。,
,60,GMP,医薬品等の製造品質管理基準,Good Manufacturing Practice,医療,,アメリカ食品医薬品局が、1938年に連邦食品・医薬品・化粧品法に基づいて定めた医薬品等の製造品質管理基準。各国がこれに準ずる基準を設けており、日本においては、医薬品医療機器等法に基づいて厚生労働大臣が定めた、医薬品等の品質管理基準をいう。
,40,GPMSP,医薬品の市販後調査の実施に関する基準,Good Post Marketing Surveilance Practice,,,
,37,GPSP,医薬品製造販売後調査・試験の実施の基準,Good Post-marketing Study Practice,,,
,74,GQP,品質管理基準,Good Quality Practice,,,
,38,GVP,医薬品の製造販売後安全管理の基準,Good Vigilance Practice,,医薬品、医薬部外品、化粧品及び医療機器の製造販売後安全管理の基準,
,35,GxP,安全性や信頼性の基準を表す言葉,Good x Practice,,,
,7,HTML,主にウェブページ作成に使われるマークアップ言語,HyperText Markup Language,,,
,9,HTTP,Web通信用プロトコル,HyperText Transfer Protocol,,,
,10,HTTPS,セキュリティが強化されたHTTP,HyperText Transfer Protocol Secure,,,
,26,Iaas,クラウドで提供されるインフラ,Infrastructure as a Service,IT,,
,45,ICH,医薬品規制調和国際会議,International Council for Harmonisation,,International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use,
,83,ID,識別子,Identifier,,,
,36,IDC,インターネットデータセンター,Internet Data Center,IT,顧客のサーバ機器やデータを預かり、インターネット接続回線や保守・運用・管理サービスを提供する施設,
,66,IQ,据付時適格性評価,Installation Qualification,,ソフトウェアとハードウェアのインストール ・ソフトウェアとハードウェアが適性であることの確認,
,52,IRB,治験審査委員会,Institutional Review Board,医療,,
,73,ISO,国際標準化機構,International Organization for Standardization,,国際標準化機構とは、様々な世界の標準（ISO規格）を定める団体である。日本もこれに加盟している。,
,71,ISPE,国際製薬技術協会,International Society for Pharmaceutical Engineering,,,
,79,IT,結合テスト,Integration Test,,,
,27,IVR,画像下治療,Interventional Radiology,医療,X線透視やCTなどの画像でからだの中を見ながらカテーテルや針を使って行う治療,
,28,IVRS,音声自動応答システム,Interactive Voice Response System,,,
,29,IWRS,ウェブ自動応答システム,Interactive Web Response System,,,
,72,MIS,経営情報システム,Management Information System,,経営判断を行うための情報を提供することを目的としたシステム。,
,67,OQ,運転時適格性評価,Operational Qualification,,,
,25,PaaS,クラウドで提供されるプラットフォーム,Platform as a Service,IT,,
,51,PKG,関連するプログラムをまとめたモノ,Package,IT,,
,53,PM,プロジェクト管理者,Project Manager,,,
,19,PMDA,医薬品医療機器総合機構,Pharmaceuticals and Medical Devices Agency,医療,,
,54,PMO,プロジェクト管理部門,Project Management Office,,,
,68,PQ,性能適格性評価,Performance Qualification,,意図した用途への適合性を実証しかつ特定の要 件に対応したシステムの受け入れを許可するテス ト、あるいはその他の検証,
,87,PRT,磁気共鳴画像,Magnetic Resonance Imaging,,エックス線は使用せず，強い磁石と電磁波を使って体内の状態を断面像として描写する検査。,
,13,QA,品質保証,Quality Assurance,,,
,12,QC,品質管理,Quality Control,,,
,81,QMS,品質マネジメントシステム,Quality Management System,,,
,57,RESP,呼吸数,Respiratory Rate,医療,単位時間当たりに行われる呼吸の数。,
,24,SaaS,クラウドで提供されるソフトウェア,Software as a Service,IT,,
,56,SCRT,連続化学放射線療法,Sequential Chemoradiotherapy,医療,抗癌剤投与と放射線治療の時期をずらして連続的に行うこと。,
,55,SDTM,臨床試験データセットの標準モデル,Study Data Tabulation Model,,,
,15,SDV,原資料との照合・検証,Source Document Verification,医療,治験評価の際に報告や治験の記録が信頼できるかを判定する。,
,16,SDV,原資料との照合・検証,Source Date Verification,医療,治験評価の際に報告や治験の記録が信頼できるかを判定する。,
,33,SE,システムエンジニア,System Engineer,IT,,
,6,SGML,マークアップ言語の1種類,Standard Generalized Markup Language,,HTMLやXMLの基盤となったマークアップ言語,
,89,SMO,治験施設支援機関,Site Management Organization,,病院などの治験実施施設の治験に関する業務を支援する外部機関。,
,1,SOP,標準業務手順書,Standard Operating Procedure,医療,治験の際に必ず守るべき基本的な業務手順をまとめた手順書。,
,80,ST,システムテスト,System Test,,,
,46,TMF,治験関連文書,Trial Master File,,,
,14,TQM,総合的品質管理,Total Quality Management,,,
,49,TS,標準仕様書,Technical Specifications,,,
,30,UAT,ユーザー受入テスト,User Acceptance Test,Workflow,,
,11,URL,インターネット上のファイルの住所,Uniform Resource Locator,,,
,69,URS,ユーザ要求仕様書,User Requirements Specification,,,
,78,UT,単体テスト,Unit Test,,,
,77,VP,検証計画書,Validation Plans,,,
,84,VPN,仮想プライベート ネットワーク,Virtual Private Network,,,
,8,XML,主にデータの管理に使われるマークアップ言語,Extensible Markup Language,,,