,,,,,
,ID,カタカナ用語,意味,種別,詳細
,9,アセスメント,価値の計算的評価,,
,18,オーディット,監査,,
,21,オープンシステム,公開された空間内で展開されたシステム,,
,23,オンプレミス,自社内でシステムを保有し、自社内の設備によって運用すること,,
,19,ガイダンス,指導／概略的説明,,
,14,ガバナンス,統治のあらゆるプロセス。政府や企業、ITシステムなどにも用いられる,,
,1,クロージング,商談の場で契約を締結すること,,
,20,クローズドシステム,閉鎖された空間内で展開されたシステム,,
,8,サプライヤ,提供者／サービスや商品を提供する事業者,,
,25,ジェネリック,一般的な／ブランドに囚われない,,
,15,システムインベント,システムの考案、発明,,
,24,スクリーニング,ふるいわけ／適格審査,,
,0,ディファクトスタンダード,事実上の標準,,正式に定められた標準ではないが、一般的に普及して事実上の標準として認識されたもの。
,11,トレーサビリティ,製品がどんな経路を辿ってきたか追跡できること,,
,13,トレーサビリティマトリクス,要求仕様、設計、コードの場所や関数名がまとめられた表や図面,,
,22,バイオメトリクス,生体情報を用いた認証（指紋認証など）,,
,10,バリデーション,検証／実証,,
,6,プロセス,過程／工程／方法,,
,5,マッピング,投影すること／割り当てること,,
,12,マトリクス,数学の行列／縦軸横軸で評価するための表や図面,,
,2,モニタリング,監視、観察すること,,
,16,リスクアセスメント,潜在的な危険性又は有害性を見つけ出し、これを除去、低減するため手法,,
,17,リタイアメント,引退／隠居,,
,4,リファレンス,参考資料,,
,3,レギューレーション,法で定まった規則や規定、規制,,
,7,ワークフロー,一連の処理や業務プロセスを定義すること,,